sample-id	Group	forward-absolute-filepath	reverse-absolute-filepath
SD35	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766212_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766212_2.fastq.gz
SD36	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766213_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766213_2.fastq.gz
SD37	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766214_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766214_2.fastq.gz
SD38	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766215_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766215_2.fastq.gz
SD39	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766216_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766216_2.fastq.gz
SD40	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766217_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766217_2.fastq.gz
SD41	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766218_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766218_2.fastq.gz
SD42	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766219_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766219_2.fastq.gz
SD43	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766220_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766220_2.fastq.gz
SD44	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766221_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766221_2.fastq.gz
SD45	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766222_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766222_2.fastq.gz
SD46	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766223_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766223_2.fastq.gz
SD47	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766224_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766224_2.fastq.gz
SD48	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766225_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766225_2.fastq.gz
SD49	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766226_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766226_2.fastq.gz
SD50	River_Valley	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766227_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data_new/SRR6766227_2.fastq.gz
